,precision,recall,f1-score,support
51,0.14285714285714285,0.0891089108910891,0.10975609756097561,202.0
52,0.24951267056530213,0.624390243902439,0.35654596100278546,205.0
53,0.10714285714285714,0.0782608695652174,0.09045226130653267,230.0
54,0.15337423312883436,0.1152073732718894,0.13157894736842105,217.0
55,0.11009174311926606,0.0594059405940594,0.07717041800643086,202.0
56,0.0,0.0,0.0,212.0
57,0.1111111111111111,0.004784688995215311,0.009174311926605503,209.0
58,0.12903225806451613,0.07582938388625593,0.0955223880597015,211.0
59,0.19375,0.1712707182320442,0.18181818181818182,181.0
60,0.19823788546255505,0.2112676056338028,0.20454545454545453,213.0
61,0.18340611353711792,0.4421052631578947,0.25925925925925924,190.0
62,0.05555555555555555,0.008928571428571428,0.015384615384615385,224.0
63,0.072,0.04591836734693878,0.05607476635514018,196.0
64,0.21830985915492956,0.29107981220657275,0.2494969818913481,213.0
65,0.0625,0.02843601895734597,0.03908794788273615,211.0
66,0.15644820295983086,0.38341968911917096,0.2222222222222222,193.0
67,0.05,0.01951219512195122,0.02807017543859649,205.0
68,0.13513513513513514,0.1282051282051282,0.13157894736842105,195.0
69,0.11728395061728394,0.09313725490196079,0.10382513661202186,204.0
70,0.11879049676025918,0.2682926829268293,0.16467065868263472,205.0
71,0.09701492537313433,0.06878306878306878,0.0804953560371517,189.0
72,0.17293233082706766,0.3484848484848485,0.23115577889447234,198.0
73,0.28484848484848485,0.46078431372549017,0.35205992509363293,204.0
74,0.10344827586206896,0.06417112299465241,0.07920792079207921,187.0
75,0.30701754385964913,0.3684210526315789,0.3349282296650718,190.0
76,0.185378590078329,0.39226519337016574,0.2517730496453901,181.0
77,0.2857142857142857,0.38,0.3261802575107296,200.0
78,0.13983739837398373,0.4215686274509804,0.21001221001221,204.0
79,0.14634146341463414,0.030456852791878174,0.05042016806722689,197.0
80,0.0273972602739726,0.010752688172043012,0.015444015444015443,186.0
81,0.14563106796116504,0.14354066985645933,0.14457831325301204,209.0
82,0.13730569948186527,0.2560386473429952,0.178752107925801,207.0
83,0.08949416342412451,0.12921348314606743,0.10574712643678162,178.0
84,0.11764705882352941,0.2,0.14814814814814817,180.0
85,0.046511627906976744,0.029556650246305417,0.03614457831325302,203.0
86,0.03260869565217391,0.015,0.02054794520547945,200.0
87,0.0,0.0,0.0,203.0
88,0.11023622047244094,0.07142857142857142,0.08668730650154799,196.0
89,0.10738255033557047,0.16326530612244897,0.12955465587044535,196.0
90,0.030534351145038167,0.020100502512562814,0.024242424242424242,199.0
91,0.13138686131386862,0.08653846153846154,0.10434782608695652,208.0
92,0.17687074829931973,0.1187214611872146,0.14207650273224043,219.0
93,0.22580645161290322,0.4307692307692308,0.2962962962962963,195.0
94,0.17669172932330826,0.27167630057803466,0.21412300683371296,173.0
95,0.22244488977955912,0.6132596685082873,0.3264705882352941,181.0
96,0.17647058823529413,0.19696969696969696,0.18615751789976134,198.0
97,0.2777777777777778,0.375,0.3191489361702128,200.0
98,0.10869565217391304,0.11961722488038277,0.11389521640091116,209.0
99,0.07407407407407407,0.03260869565217391,0.045283018867924525,184.0
100,0.05555555555555555,0.10256410256410256,0.07207207207207207,195.0
101,0.6147859922178989,0.7669902912621359,0.6825053995680345,206.0
102,0.041666666666666664,0.03278688524590164,0.03669724770642202,183.0
103,0.08411214953271028,0.04639175257731959,0.05980066445182723,194.0
104,0.0,0.0,0.0,203.0
105,0.3918918918918919,0.7795698924731183,0.5215827338129496,186.0
106,0.0,0.0,0.0,181.0
107,0.0665083135391924,0.14507772020725387,0.09120521172638436,193.0
108,0.31493506493506496,0.47549019607843135,0.37890625000000006,204.0
109,0.1111111111111111,0.06829268292682927,0.08459214501510574,205.0
110,0.13274336283185842,0.15228426395939088,0.1418439716312057,197.0
111,0.1518987341772152,0.06779661016949153,0.09374999999999999,177.0
112,0.06111111111111111,0.060109289617486336,0.06060606060606061,183.0
113,0.14987080103359174,0.32044198895027626,0.20422535211267606,181.0
accuracy,0.17653508771929824,0.17653508771929824,0.17653508771929824,0.17653508771929824
macro avg,0.14428363435592795,0.1774588937978709,0.1489520654988985,22800.0
weighted avg,0.14431105273492845,0.17653508771929824,0.14863553806180008,22800.0
