,acoustic,afrobeat,alt-rock,alternative,ambient,anime,black-metal,bluegrass,blues,brazil,breakbeat,british,cantopop,chicago-house,children,chill,classical,club,comedy,country,dance,dancehall,death-metal,deep-house,detroit-techno,disco,disney,drum-and-bass,dub,dubstep,edm,electro,electronic,emo,folk,forro,french,funk,garage,german,gospel,goth,grindcore,groove,grunge,guitar,happy,hard-rock,hardcore,hardstyle,heavy-metal,hip-hop,honky-tonk,house,idm,indian,indie-pop,indie,industrial,iranian,j-dance,j-idol,j-pop,j-rock,jazz,k-pop,kids,latin,latino,malay,mandopop,metal,metalcore,minimal-techno,mpb,new-age,opera,pagode,party,piano,pop-film,pop,power-pop,progressive-house,psych-rock,punk-rock,punk,r-n-b,reggae,reggaeton,rock-n-roll,rock,rockabilly,romance,sad,salsa,samba,sertanejo,show-tunes,singer-songwriter,ska,sleep,songwriter,soul,spanish,study,swedish,synth-pop,tango,techno,trance,trip-hop,turkish,world-music
dancehall,0,1,0,0,0,2,0,0,1,0,0,0,0,3,0,2,0,0,2,0,3,24,0,7,0,1,0,0,0,0,0,1,0,10,0,1,2,11,0,0,0,0,0,0,0,0,1,0,4,0,0,6,0,1,0,0,0,0,0,0,34,0,0,1,0,3,15,1,10,0,0,0,0,0,2,0,0,0,4,0,3,0,0,1,0,0,0,0,6,13,0,0,0,0,9,8,0,0,2,0,3,0,0,0,0,0,0,0,2,0,0,0,4,0
death-metal,0,0,0,0,0,0,27,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,39,0,0,0,0,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,28,0,1,0,3,5,1,9,14,0,0,0,0,0,0,0,7,1,0,3,0,1,0,0,0,0,0,0,0,2,36,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
deep-house,0,2,0,0,0,1,0,0,0,0,1,0,2,12,1,1,0,2,0,2,3,0,0,45,2,4,0,0,0,2,5,1,0,1,0,1,3,0,1,0,0,0,0,0,0,0,2,0,3,1,0,0,0,12,0,1,1,0,0,0,1,1,0,0,0,0,4,1,3,1,0,0,0,9,0,0,0,0,7,0,0,1,1,12,0,0,0,0,0,4,2,0,0,0,0,0,0,2,1,0,1,0,0,0,0,3,0,4,0,3,11,1,1,0
detroit-techno,0,6,0,0,0,0,0,0,0,0,11,0,0,34,0,1,0,0,0,0,0,0,0,6,61,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,36,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,4,4,7,1,0
disco,0,6,0,0,0,0,0,2,1,0,9,0,3,8,3,0,0,0,0,2,0,2,0,6,2,16,0,0,0,1,0,0,0,0,1,8,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,1,4,0,1,0,0,0,0,0,6,0,0,1,0,2,2,1,1,0,0,0,4,1,0,1,0,24,0,0,1,0,2,2,1,0,1,0,5,1,0,2,0,0,14,3,3,0,0,10,0,0,1,0,0,0,18,0,2,1,0,1,2
disney,0,1,0,0,16,1,0,0,2,0,0,0,1,0,9,1,6,0,0,1,1,0,0,0,0,0,25,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,7,0,3,0,0,0,0,4,0,0,0,0,3,0,2,0,0,1,2,0,0,0,0,7,20,0,0,2,0,1,3,1,1,1,0,2,0,0,0,2,0,14,0,0,0,0,10,0,0,6,2,2,0,19,0,2,3,0,0,0,1,1
drum-and-bass,0,0,0,0,0,0,6,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,2,0,4,0,0,94,0,10,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,15,0,1,10,3,0,0,1,0,0,0,0,0,2,2,5,0,1,0,1,2,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,5,0,0,0
dub,1,2,2,0,0,1,1,0,0,0,1,0,2,11,0,2,0,1,0,0,5,7,0,1,2,2,0,7,1,23,2,2,2,5,0,3,0,1,0,1,8,2,1,0,9,0,5,1,5,12,2,0,0,5,2,0,1,0,0,0,1,4,0,1,0,0,4,0,1,2,2,3,4,0,1,0,0,0,4,0,1,0,0,8,2,0,0,0,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,1,2,6
dubstep,0,0,0,2,1,3,0,0,0,0,2,0,1,0,0,0,0,1,0,2,0,0,2,0,0,1,0,10,3,36,4,0,0,9,0,2,0,0,0,1,7,1,2,0,12,0,4,2,4,19,1,2,1,3,1,2,0,0,1,2,3,6,0,2,0,2,2,0,1,1,9,4,9,0,0,0,1,0,0,0,0,0,1,13,0,0,2,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,3,0,1,12
edm,0,0,1,2,0,0,0,0,3,0,0,0,0,1,0,1,0,0,0,8,10,1,0,12,0,0,0,1,5,14,20,2,0,3,0,3,4,2,1,0,0,0,0,0,5,0,3,0,5,3,0,0,0,10,0,0,0,0,0,0,1,3,1,2,0,0,9,5,3,0,1,2,2,1,0,0,0,0,14,0,2,0,1,8,1,1,3,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,8,0,1,0
electro,3,0,1,3,0,0,0,0,0,0,3,0,2,0,1,6,0,0,0,5,10,6,0,14,0,0,0,1,11,7,15,0,0,8,0,6,1,4,0,0,0,1,0,0,2,0,0,0,2,2,0,2,1,5,0,1,0,0,0,1,1,2,1,2,2,0,1,1,2,1,2,1,2,0,0,0,1,0,13,0,2,0,0,7,1,1,0,0,1,3,2,0,0,1,8,0,0,3,6,2,0,0,2,3,0,1,0,1,0,0,0,0,3,4
electronic,0,1,0,2,1,1,0,1,0,0,3,0,1,1,0,1,0,4,0,0,1,2,1,11,1,3,0,5,3,6,5,3,0,7,1,0,2,0,0,0,1,0,0,0,0,1,2,2,2,3,1,1,0,3,4,1,0,0,1,2,3,4,0,0,0,1,4,0,5,3,2,1,2,16,1,0,0,0,4,0,2,3,7,9,1,0,1,0,0,3,1,0,0,1,0,2,0,1,2,0,3,0,1,0,0,8,0,3,0,3,6,2,2,2
emo,0,0,0,0,0,0,0,1,0,0,0,0,0,1,8,0,0,2,3,1,2,1,1,0,0,1,0,0,3,2,2,0,0,34,0,0,0,0,1,0,1,0,2,0,4,0,2,1,2,1,4,5,0,2,0,0,0,0,0,2,6,8,0,4,0,0,2,1,1,0,0,3,10,0,0,0,1,0,3,0,1,1,3,1,0,5,2,0,0,0,2,1,1,1,32,1,0,2,0,0,3,0,1,1,0,1,0,1,0,0,1,0,2,2
folk,1,4,0,0,2,0,0,7,0,1,0,0,10,1,3,1,1,0,0,5,0,1,0,0,0,4,0,0,1,2,1,1,0,0,3,3,0,1,0,0,4,0,0,0,6,0,0,5,2,0,0,0,5,1,2,4,0,0,0,0,1,5,0,0,6,2,1,0,0,7,12,0,0,0,0,0,4,2,0,1,2,8,1,0,5,1,1,2,0,1,2,1,1,8,0,14,4,2,2,6,4,0,6,1,1,0,0,6,3,0,0,1,2,4
forro,0,1,0,0,0,0,0,3,0,2,0,0,0,0,9,0,0,0,0,1,0,1,0,2,0,3,0,0,0,0,1,0,0,0,0,83,0,4,0,0,3,0,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,2,3,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,9,6,0,0,0,1,0,2,1,0,1,1,0,0,2,2,0,0,14,1,30,0,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0
french,0,2,0,1,2,0,0,1,1,1,1,0,3,2,1,5,2,3,7,2,4,3,0,9,0,0,0,0,0,2,0,0,3,2,0,2,6,1,0,0,2,0,1,0,5,1,0,0,0,0,2,2,0,1,3,4,0,0,0,2,7,0,0,0,1,2,11,1,1,2,2,1,0,2,0,3,2,0,6,1,0,2,3,1,0,0,0,0,1,3,2,0,1,7,11,5,0,0,3,1,2,3,1,0,1,3,1,2,1,1,0,0,7,1
funk,0,0,0,0,0,0,0,0,1,1,1,0,3,3,1,0,0,0,5,1,1,12,0,1,0,5,0,0,0,0,1,1,0,5,0,8,1,14,0,0,0,0,0,0,1,0,0,4,2,0,0,4,2,6,0,0,0,0,0,0,13,2,0,1,0,1,5,2,7,2,2,3,4,0,1,0,4,4,1,0,1,3,1,1,8,1,0,1,4,16,1,7,2,1,10,1,3,3,4,0,2,0,1,0,0,0,0,3,3,0,0,0,3,2
garage,0,2,0,1,1,4,4,2,0,1,1,0,2,2,0,1,0,0,1,2,3,0,1,3,0,2,0,0,6,0,2,0,0,2,0,1,1,0,10,1,0,0,2,0,6,1,2,1,4,1,5,0,3,0,3,0,0,0,3,0,0,2,1,4,1,0,0,0,1,1,1,3,7,0,0,0,0,1,4,1,0,3,29,2,4,6,4,0,0,0,5,1,2,2,0,0,0,1,0,0,3,0,0,2,0,3,0,1,0,1,1,2,2,4
german,1,0,0,0,9,0,2,0,0,0,1,0,1,2,0,1,11,1,2,2,0,1,0,2,1,1,2,0,0,2,5,0,0,4,2,3,2,1,0,0,1,0,0,0,2,1,2,1,2,3,0,1,0,3,2,1,0,0,0,6,5,3,0,0,1,1,5,0,1,0,5,0,1,2,2,10,1,0,10,0,1,0,2,1,1,1,0,1,1,3,1,0,1,2,13,2,1,3,1,0,1,13,0,2,0,2,0,2,0,0,4,1,4,1
gospel,4,0,0,0,0,0,1,1,0,2,0,0,4,0,1,1,0,0,0,2,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,3,0,0,0,0,62,0,0,0,4,0,1,4,0,0,2,0,2,0,0,1,0,0,0,1,0,7,1,1,0,0,0,1,0,0,25,2,1,0,1,0,4,3,1,1,0,13,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,2,0,0,1,0,1,0,0,0,0,4,1,0,0,0,1,35
goth,0,2,1,1,0,2,9,3,0,2,2,0,1,0,2,1,0,0,0,4,0,3,9,0,0,0,0,2,1,3,0,0,0,1,0,1,0,0,2,0,1,2,0,1,9,0,4,11,2,2,25,1,2,0,1,0,0,1,3,1,2,4,0,0,1,0,2,0,0,3,1,8,8,0,0,0,5,0,0,0,0,1,12,2,7,1,0,2,0,0,0,0,4,3,1,2,0,2,1,0,7,0,1,1,1,0,0,10,1,0,3,2,3,4
grindcore,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,161,0,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
groove,1,2,0,0,0,0,4,0,0,4,2,0,1,14,0,1,0,1,1,2,0,0,7,32,0,0,0,1,0,1,1,0,0,1,0,2,0,0,0,0,16,0,1,1,1,0,3,1,2,1,1,0,0,5,1,2,0,0,2,0,0,3,0,1,0,1,0,0,0,1,5,5,14,5,1,0,2,5,8,0,0,3,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,5,0,3,2,1,1,18
grunge,0,0,2,0,0,0,6,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,1,6,0,3,1,0,0,1,1,0,0,0,0,0,3,1,2,0,19,0,2,8,5,7,18,0,0,1,2,0,0,0,6,3,0,6,4,3,0,0,0,0,0,0,1,9,14,0,0,0,1,1,3,0,0,0,5,0,5,7,6,0,0,0,1,2,0,0,0,0,0,2,0,0,3,0,0,0,0,1,0,7,0,0,0,0,2,12
guitar,2,1,0,0,7,1,0,1,1,0,0,0,2,0,1,6,12,0,0,1,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,9,0,2,0,0,0,1,3,0,0,0,0,5,2,0,0,0,3,3,0,0,0,1,5,0,0,0,4,0,2,0,0,2,0,0,2,0,0,0,2,1,4,0,10,2,2,0,1,1,5,2,2,0,21,0,0,10,0,0,1,0,3
happy,0,0,0,0,0,0,3,0,0,0,9,0,0,1,0,0,0,2,0,0,0,0,2,2,0,0,0,19,1,6,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,0,59,1,1,23,5,0,0,0,3,0,0,0,4,4,0,4,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,11,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,4,13,0,0,0
hard-rock,0,0,1,0,0,0,0,5,3,0,0,0,3,1,0,0,0,0,1,0,0,1,4,0,0,1,0,0,0,2,1,0,0,0,0,3,0,0,3,0,4,0,1,0,7,0,2,5,2,2,12,0,1,1,1,0,0,0,2,0,0,7,0,1,0,1,0,0,0,0,0,10,3,1,0,0,1,3,7,0,0,1,13,1,6,6,2,0,0,0,0,1,1,0,0,2,2,0,0,0,19,0,1,0,0,0,0,11,0,1,2,0,2,11
hardcore,0,1,0,0,0,0,2,0,0,2,2,0,1,3,0,0,0,0,5,0,0,15,9,1,1,0,0,1,0,3,0,0,0,3,0,0,0,1,1,0,0,0,8,0,7,0,5,7,12,6,8,3,0,0,2,0,0,0,4,0,7,4,0,0,0,0,2,0,3,1,0,0,13,1,0,0,0,0,5,0,0,1,17,4,2,6,3,0,0,5,0,0,1,0,2,0,0,1,1,0,5,0,0,0,0,0,0,3,0,1,1,0,1,2
hardstyle,0,0,0,0,0,0,3,0,0,0,6,0,0,1,1,0,0,0,0,0,0,0,3,1,1,0,0,15,0,9,2,0,0,3,0,4,0,0,0,0,1,1,1,0,8,0,29,1,2,49,1,1,0,0,0,1,0,0,2,0,1,5,0,0,0,0,1,0,0,1,0,0,12,0,0,0,0,0,10,0,0,0,2,6,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,7,11,0,0,0
heavy-metal,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,1,4,0,6,0,8,12,2,3,48,0,0,1,2,0,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,4,28,0,0,0,0,0,2,0,0,0,11,1,5,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,5
hip-hop,0,1,0,0,0,0,0,0,0,4,0,0,0,2,1,0,0,0,2,0,2,12,0,5,0,3,0,2,4,0,1,0,1,7,0,0,1,2,0,0,0,0,0,0,0,0,1,0,4,0,0,18,0,4,0,4,0,0,0,0,7,2,0,1,0,2,16,1,10,2,4,0,0,0,1,0,0,0,12,0,2,6,0,5,1,0,0,0,7,17,1,0,0,0,9,2,1,0,0,0,1,0,0,0,1,0,1,2,0,0,1,0,6,0
honky-tonk,2,1,0,0,0,0,0,8,0,0,0,0,6,0,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,3,0,0,0,0,0,0,8,6,3,0,0,0,0,2,1,1,0,4,1,0,1,0,0,5,0,0,0,0,0
house,0,0,0,3,0,0,0,0,0,0,2,0,0,4,1,0,0,1,0,7,15,1,0,22,0,2,0,1,3,7,18,2,0,8,0,1,4,4,0,0,0,0,0,0,4,0,0,2,4,1,2,2,0,18,0,1,2,0,1,0,0,4,0,0,0,0,9,4,2,0,0,2,0,0,0,0,0,0,17,0,2,1,0,17,0,0,0,0,0,4,3,0,0,0,2,0,0,1,0,0,2,0,0,3,1,3,0,1,0,2,7,0,0,0
